"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"02.01.2020","54,33","53,98","54,44","53,75","17,51M","1,93%"
"03.01.2020","53,93","53,68","54,50","53,58","17,28M","-0,74%"
"06.01.2020","53,61","53,80","53,80","53,15","32,79M","-0,59%"
"07.01.2020","54,00","53,50","54,19","53,40","16,33M","0,73%"
"08.01.2020","54,01","54,20","54,37","53,62","15,30M","0,02%"
"09.01.2020","53,30","53,75","53,87","53,05","14,64M","-1,31%"
"10.01.2020","53,36","53,75","53,87","53,11","9,13M","0,11%"
"13.01.2020","55,30","53,64","55,64","53,51","27,50M","3,64%"
"14.01.2020","55,64","55,30","56,35","55,00","27,82M","0,61%"
"15.01.2020","55,46","55,30","56,08","55,11","21,43M","-0,32%"
"16.01.2020","55,17","55,60","55,95","55,10","13,15M","-0,52%"
"17.01.2020","57,00","56,25","57,09","56,10","36,52M","3,32%"
"20.01.2020","57,36","57,00","57,36","56,53","16,75M","0,63%"
"21.01.2020","56,03","56,80","57,01","55,74","25,44M","-2,32%"
"22.01.2020","56,30","56,60","56,85","56,06","17,27M","0,48%"
"23.01.2020","55,50","55,43","55,73","54,71","23,03M","-1,42%"
"24.01.2020","53,80","55,62","55,73","53,69","19,74M","-3,06%"
"27.01.2020","50,51","51,66","51,82","50,48","38,78M","-6,12%"
"28.01.2020","51,20","51,20","52,09","51,08","23,05M","1,37%"
"29.01.2020","50,75","51,70","51,89","50,46","23,32M","-0,88%"
"30.01.2020","51,50","49,97","51,50","49,80","23,08M","1,48%"
"31.01.2020","50,27","50,96","51,06","49,80","29,99M","-2,39%"
"03.02.2020","50,91","50,50","51,09","49,80","18,86M","1,27%"
"04.02.2020","52,27","52,20","52,58","51,97","21,56M","2,67%"
"05.02.2020","52,99","53,32","53,62","52,99","26,80M","1,38%"
"06.02.2020","53,28","53,66","53,92","52,82","22,16M","0,55%"
"07.02.2020","52,10","52,88","52,96","51,92","14,45M","-2,21%"
"10.02.2020","50,19","51,90","51,90","49,92","28,24M","-3,67%"
"11.02.2020","52,05","51,15","52,20","51,02","27,56M","3,71%"
"12.02.2020","53,07","53,10","53,38","52,83","28,54M","1,96%"
"13.02.2020","52,14","52,22","52,40","51,56","20,11M","-1,75%"
"14.02.2020","51,00","52,21","52,28","50,95","19,90M","-2,19%"
"17.02.2020","53,41","51,71","53,41","51,62","28,13M","4,73%"
"18.02.2020","52,80","52,55","53,05","52,12","18,05M","-1,14%"
"19.02.2020","52,81","52,93","53,12","52,40","14,44M","0,02%"
"20.02.2020","52,20","53,27","53,49","52,06","18,82M","-1,16%"
"21.02.2020","50,13","51,00","51,14","49,80","32,25M","-3,97%"
"26.02.2020","45,35","46,66","46,84","45,06","46,92M","-9,54%"
"27.02.2020","44,47","44,65","45,54","43,56","42,42M","-1,94%"
"28.02.2020","44,31","43,99","44,31","43,20","33,23M","-0,36%"
"02.03.2020","46,36","44,88","47,09","44,81","48,37M","4,63%"
"03.03.2020","46,35","46,74","49,09","46,07","52,40M","-0,02%"
"04.03.2020","48,57","48,00","49,09","47,00","31,48M","4,79%"
"05.03.2020","46,85","47,66","47,95","45,95","29,09M","-3,54%"
"06.03.2020","44,61","44,20","45,82","43,65","39,72M","-4,78%"
"09.03.2020","37,83","40,45","41,54","37,81","58,88M","-15,20%"
"10.03.2020","44,81","41,90","45,34","40,80","62,97M","18,45%"
"11.03.2020","40,74","43,01","44,29","39,00","49,61M","-9,08%"
"12.03.2020","35,35","36,00","36,00","32,45","61,99M","-13,23%"
"13.03.2020","42,90","42,00","44,03","37,00","67,25M","21,36%"
"16.03.2020","39,04","36,01","41,40","36,01","58,83M","-9,00%"
"17.03.2020","41,51","40,50","43,57","39,11","52,59M","6,33%"
"18.03.2020","38,65","38,80","40,87","35,70","59,55M","-6,89%"
"19.03.2020","36,40","37,50","39,00","35,26","52,14M","-5,82%"
"20.03.2020","35,19","37,90","39,41","34,71","50,20M","-3,32%"
"23.03.2020","34,10","35,55","35,86","33,37","41,74M","-3,10%"
"24.03.2020","37,64","36,86","38,65","36,86","36,95M","10,38%"
"25.03.2020","40,85","38,19","41,35","38,09","37,93M","8,53%"
"26.03.2020","42,00","41,01","42,41","39,99","35,39M","2,82%"
"27.03.2020","40,10","39,30","41,44","39,20","32,16M","-4,52%"
"30.03.2020","41,77","40,92","42,32","40,74","31,19M","4,16%"
"31.03.2020","43,22","42,30","44,49","42,22","39,03M","3,47%"
"01.04.2020","43,37","41,81","44,12","41,20","37,02M","0,35%"
"02.04.2020","42,78","43,95","44,57","41,92","34,27M","-1,36%"
